date,bank_rate_monthly_avg,bank_rate_end_month,gilt_yield
1985-07-31,11.962,11.375,10.5678946821892
1985-08-31,11.375,11.375,10.5139667400901
1985-09-30,11.375,11.375,10.3426999699928
1985-10-31,11.375,11.375,10.4211929894514
1985-11-30,11.375,11.375,10.4460949419447
1985-12-31,11.375,11.375,10.6128200820778
1986-01-31,11.9659,12.375,10.9310677216913
1986-02-28,12.375,12.375,10.067887866459
1986-03-31,12.0066,11.375,8.91581859692509
1986-04-30,10.8523,10.375,8.73528908901838
1986-05-31,10.25,9.875,9.12971876503926
1986-06-30,9.875,9.875,9.3235774748722
1986-07-31,9.875,9.875,9.51236284457877
1986-08-31,9.875,9.875,9.41175489198052
1986-09-30,9.875,9.875,10.7694392088245
1986-10-31,10.4402,10.875,10.7319602482931
1986-11-30,10.875,10.875,11.0003179441701
1986-12-31,10.875,10.875,10.3379222749691
1987-01-31,10.875,10.875,10.0927417401607
1987-02-28,10.875,10.875,9.6048978602804
1987-03-31,10.2614,9.875,9.18013327137465
1987-04-30,9.8,9.375,8.93436845333474
1987-05-31,8.9803,8.875,8.83652311202247
1987-06-30,8.875,8.875,9.21863038435866
1987-07-31,8.875,8.875,9.82677794965681
1987-08-31,9.725,9.875,10.2308018646905
1987-09-30,9.875,9.875,10.1393661745745
1987-10-31,9.7386,9.375,9.4246007909194
1987-11-30,8.9226,8.875,9.37152819463533
1987-12-31,8.4226,8.375,9.66139082935038
1988-01-31,8.375,8.375,9.39377120394355
1988-02-29,8.875,8.875,9.24458963072605
1988-03-31,8.6359,8.375,9.13410829254358
1988-04-30,7.9539,7.875,9.38843803881501
1988-05-31,7.625,7.375,9.47886984863745
1988-06-30,8.2841,8.875,9.7038910448045
1988-07-31,9.8512,10.375,9.63684341124547
1988-08-31,10.9432,11.875,9.93609982825229
1988-09-30,11.875,11.875,9.66901555206595
1988-10-31,11.875,11.875,9.37428643183769
1988-11-30,12.0568,12.875,9.78514427813839
1988-12-31,12.875,12.875,9.78538304230971
1989-01-31,12.875,12.875,9.42369919128098
1989-02-28,12.875,12.875,9.59878808557177
1989-03-31,12.875,12.875,9.64636111933637
1989-04-30,12.875,12.875,9.70226147072072
1989-05-31,13.0417,13.75,10.0189639196942
1989-06-30,13.75,13.75,9.97389514882658
1989-07-31,13.75,13.75,9.53680005030015
1989-08-31,13.7543,13.8438,9.64847638976017
1989-09-30,13.7783,13.75,9.97673002425952
1989-10-31,14.6705,14.875,9.98004678234137
1989-11-30,14.875,14.875,10.2193871418798
1989-12-31,14.875,14.875,9.93320375181819
1990-01-31,14.875,14.875,10.5652875174692
1990-02-28,14.875,14.875,11.0352674041445
1990-03-31,14.875,14.875,11.6888664192263
1990-04-30,14.875,14.875,12.3681089467865
1990-05-31,14.875,14.875,11.4721676637267
